id;Наименование материала; Количество в упаковке; Единица измерения; Количество на складе; Минимальный возможный остаток;Описание; Стоимость;Image;Тип материала
1;Шипы для льда 3x2;3; г;470;26;; 6511.00;;2
2;Резина для льда 0x2;2; кг;816;21;;48785;;2
3;Шипы для льда 2x2;1; г;479;22;; 13077.00;;1
4;Шипы для льда 3x0;9; г;885;5;;52272;;1
5;Шипы для пустыни 3x2;2; г;923;19;;28748;;1
6;Шипы для лета 3x1;6; кг;184;40;;51974;;2
7;Резина для зимы 2x3;3; м;344;12;;53323;;2
8;Резина для зимы 3x3;2; кг;275;28;; 31356.00;;2
9;Шипы для льда 1x0;10; г;914;22;;25538;;1
10;Резина для лета 0x1;9; кг;127;17;;23936;;2
11;Резина для лета 2x2;2; м;542;20;; 54298.00;;2
12;Резина для зимы 3x1;9; кг;690;24;;25844;;2
13;Шипы для зимы 0x1;3; г;255;25;;6484;;2
14;Шипы для льда 2x0;4; шт;214;15;; 17996.00;;1
15;Резина для пустыни 3x2;1; м;931;43;; 5854.00;;2
16;Шипы для зимы 3x0;6; г;192;48;; 9260.00;;1
17;Резина для пустыни 2x0;5; кг;769;14;; 17425.00;;2
18;Шипы для лета 3x2;1; г;547;11;;43288;;1
19;Резина для зимы 0x3;4; м;726;46;;37293;;2
20;Шипы для льда 0x0;2; кг;585;37;; 21188.00;;1
21;Шипы для льда 0x1;2; шт;147;8;; 49557.00;;1
22;Резина для льда 1x3;2; кг;286;39;; 23551.00;;2
23;Резина для пустыни 1x3;5; кг;222;9;;21546;;2
24;Шипы для зимы 3x3;4; г;652;33;; 15159.00;;1
25;Шипы для пустыни 0x2;4; г;792;46;;8571;;1
26;Шипы для лета 2x0;1; г;68;43;; 8206.00;;1
27;Резина для пустыни 3x3;9; м;840;11;; 5144.00;;2
28;Резина для льда 0x1;5; м;964;34;; 53394.00;;2
29;Резина для лета 0x2;4; кг;753;33;;9069;;2
30;Резина для зимы 1x0;5; кг;929;48;; 43046.00;;2
31;Резина для лета 3x3;6; м;652;28;; 6764.00;;2
32;Резина для пустыни 1x1;6; кг;120;21;;11642;;2
33;Шипы для пустыни 0x1;4; шт;612;24;; 55689.00;;1
34;Шипы для льда 3x1;8; г;123;43;; 42668.00;;1
35;Резина для льда 3x3;7; кг;909;35;;23174;;2
36;Шипы для льда 2x3;10; шт;237;7;; 27105.00;;1
37;Шипы для лета 2x2;4; г;15;10;;44506;;1
38;Резина для пустыни 2x3;5; м;103;38;; 55679.00;;2
39;Резина для зимы 1x3;9; м;84;50;;27823;;2
40;Резина для лета 1x0;5; м;234;32;;25499;;2
41;Резина для пустыни 0x3;8; м;761;7;; 8094.00;;2
42;Резина для лета 2x1;2; м;561;39;;47610;;2
43;Резина для пустыни 2x1;10; кг;918;12;; 34518.00;;2
44;Шипы для пустыни 3x1;4; г;37;43;;27104;;1
45;Шипы для льда 1x1;7; г;335;33;;48279;;1
46;Шипы для зимы 2x0;3; шт;466;8;;34841;;1
47;Резина для пустыни 1x2;9; кг;496;36;;24876;;2
48;Резина для льда 2x0;6; м;86;8;; 24767.00;;2
49;Шипы для лета 0x1;2; кг;974;35;; 28825.00;;1
50;Шипы для льда 2x1;10; шт;634;25;;23287;;1
