id;Наименование продукции;Тип продукции;Артикул;Описание;Изображение;Количество человек для производства;Номер цеха для производства;Минимальная стоимость для агента
1;Колесо R18 Кованый;1;241659;;products/tire_15.jpg;4;10;11509
2;Запаска R15 Кованый;2;327657;;products/tire_64.jpg;2;8;8667
3;Шина R21 Лето;1;266521;;products/tire_6.jpg;4;1;10561
4;Шина R21 Кованый;1;329576;;products/tire_59.jpg;2;2;7989.00
5;Диск R17 Лето;4;400508;;products/tire_24.jpg;1;4;12941
6;Шина R14 Липучка;1;331598;;products/tire_17.jpg;4;1;13879
7;Диск R16 Кованый;4;440075;;products/tire_25.jpg;3;9;9068
8;Запаска R14 Лето;2;448396;;products/tire_32.jpg;1;5;12878.00
9;Диск R22 Липучка;4;418286;;products/tire_4.jpg;4;2;10670.00 
10;Запаска R15 Лето;2;348910;;products/tire_50.jpg;1;9;4969.00
11;Шина R15 Липучка;1;349418;;products/tire_48.jpg;1;4;6393
12;Колесо R15 Кованый;1;376388;;picture.png;3;4;9439
13;Колесо R20 Кованый;1;445217;;products/tire_1.jpg;3;10;9569
14;Диск R19 Лето;4;243152;;products/tire_0.jpg;1;9;6264
15;Колесо R18 Лето;1;412238;;products/tire_14.jpg;2;7;13892.00
16;Диск R20 Зима;4;252453;;picture.png;4;9;14526.00 
17;Диск R17 Зима;4;343841;;picture.png;3;9;12768.00
18;Запаска R21 Липучка;2;247470;;products/tire_62.jpg;1;2;10139.00
19;Запаска R20 Липучка;2;335226;;picture.png;1;2;9988
20;Шина R17 Кованый;1;299692;;products/tire_58.jpg;3;10;11463
21;Диск R20 Липучка;4;447543;;products/tire_3.jpg;4;8;11661.00
22;Запаска R20 Кованый;2;249737;;picture.png;5;5;7509
23;Колесо R14 Кованый;1;429265;;picture.png;3;6;11838
24;Диск R21 Кованый;4;299085;;products/tire_61.jpg;3;3;4757.00 
25;Шина R20 Кованый;1;330937;;products/tire_45.jpg;3;1;10928
26;Диск R16 Липучка;4;435703;;picture.png;5;2;9934
27;Запаска R18 Лето;2;305509;;products/tire_41.jpg;1;3;5192.00
28;Запаска R19 Кованый;2;390434;;products/tire_46.jpg;5;8;14258
29;Диск R18 Лето;4;317858;;products/tire_52.jpg;5;3;8435
30;Запаска R14 Кованый;2;412235;;products/tire_47.jpg;4;6;12891.00 
31;Запаска R22 Липучка;2;328305;;products/tire_13.jpg;2;1;10116.00
32;Колесо R21 Липучка;1;403378;;products/tire_55.jpg;3;10;3626.00 
33;Шина R18 Лето;1;425463;;picture.png;4;10;11625
34;Запаска R17 Липучка;2;327883;;products/tire_10.jpg;2;2;12332
35;Диск R22 Кованый;4;388520;;products/tire_19.jpg;3;2;7498
36;Шина R18 Липучка;1;319450;;picture.png;3;6;4951
37;Шина R16 Кованый;1;421321;;picture.png;1;2;14691.00 
38;Диск R17 Липучка;4;282569;;products/tire_42.jpg;5;5;12356
39;Запаска R23 Зима;2;394768;;products/tire_8.jpg;1;9;13019.00 
40;Диск R21 Зима;4;250714;;products/tire_11.jpg;5;5;8762
41;Диск R16 Лето;4;251201;;picture.png;3;10;8149
42;Шина R14 Кованый;1;274477;;products/tire_34.jpg;5;5;9527
43;Диск R19 Зима;4;358851;;products/tire_16.jpg;5;6;5695.00
44;Диск R21 Лето;4;449834;;products/tire_35.jpg;4;8;2698.00
45;Запаска R19 Липучка;2;438383;;picture.png;3;1;12000.00 
46;Колесо R19 Лето;1;298778;;products/tire_38.jpg;1;10;7493
47;Колесо R16 Лето;1;337577;;products/tire_2.jpg;1;9;10161.00
48;Запаска R21 Зима;2;365509;;picture.png;5;6;14556
49;Шина R20 Липучка;1;348553;;picture.png;2;2;3508
50;Диск R20 Лето;4;300047;;products/tire_56.jpg;3;10;10323
51;Запаска R18 Липучка;2;279256;;products/tire_53.jpg;4;5;9759
52;Шина R22 Лето;1;406784;;products/tire_37.jpg;3;5;14692
53;Колесо R21 Лето;1;276905;;picture.png;1;2;10343.00 
54;Диск R19 Липучка;4;318661;;picture.png;1;6;5544
55;Запаска R14 Зима;2;440993;;picture.png;5;2;6020
56;Запаска R22 Кованый;2;341800;;picture.png;2;4;5447.00 
57;Диск R22 Зима;4;453650;;products/tire_22.jpg;5;3;11459
58;Запаска R17 Кованый;2;372287;;products/tire_57.jpg;5;3;5808
59;Диск R15 Лето;4;347427;;picture.png;1;1;5071.00
60;Шина R15 Кованый;1;274665;;products/tire_63.jpg;2;10;
61;Запаска R19 Лето;2;283112;;products/tire_33.jpg;3;4;3362
62;Колесо R20 Липучка;1;363664;;picture.png;1;8;12681.00 
63;Шина R19 Зима;1;444141;;picture.png;2;8;2741
64;Шина R22 Кованый;1;416324;;products/tire_30.jpg;2;8;13841.00 
65;Колесо R18 Зима;1;387609;;products/tire_9.jpg;1;4;3445
66;Запаска R16 Кованый;2;432234;;picture.png;3;7;13556.00 
67;Колесо R17 Зима;1;381949;;picture.png;4;6;5902.00
68;Запаска R16 Зима;2;394413;;products/tire_49.jpg;3;10;12679
69;Колесо R20 Лето;1;434626;;products/tire_31.jpg;5;8;11959
70;Шина R17 Липучка;1;280863;;picture.png;4;8;11695
71;Шина R18 Зима;1;444280;;products/tire_44.jpg;4;6;13168
72;Запаска R17 Лето;2;331576;;products/tire_39.jpg;3;8;4803.00 
73;Запаска R22 Зима;2;268886;;picture.png;3;2;13471
74;Колесо R20 Зима;1;427198;;picture.png;4;10;2397
75;Шина R17 Лето;1;354738;;products/tire_20.jpg;2;10;11329.00 
76;Шина R14 Лето;1;330951;;products/tire_29.jpg;4;7;6786.00
77;Запаска R20 Зима;2;241577;;products/tire_51.jpg;2;6;9125.00 
78;Колесо R17 Липучка;1;281537;;picture.png;1;2;4365
79;Шина R16 Зима;1;300433;;picture.png;4;2;2570
80;Запаска R19 Зима;2;254860;;picture.png;2;5;5568.00 
81;Диск R22 Лето;4;406411;;products/tire_23.jpg;2;4;2904.00 
82;Колесо R19 Липучка;1;440973;;products/tire_5.jpg;4;4;8439
83;Шина R21 Липучка;1;308647;;products/tire_26.jpg;4;6;12830
84;Шина R17 Зима;1;291319;;products/tire_54.jpg;2;4;6426.00
85;Диск R18 Зима;4;255211;;products/tire_21.jpg;1;6;13239
86;Шина R18 Кованый;1;275809;;products/tire_40.jpg;4;10;3258
87;Колесо R17 Лето;1;332936;;products/tire_28.jpg;2;1;11145.00
88;Шина R22 Зима;1;382661;;picture.png;1;2;10373
89;Шина R19 Лето;1;335030;;picture.png;4;10;4870
90;Шина R19 Кованый;1;291359;;products/tire_27.jpg;5;10;14682.00
91;Колесо R18 Липучка;1;332858;;products/tire_12.jpg;3;7;14804
92;Запаска R15 Липучка;2;237228;;products/tire_18.jpg;3;8;5510.00 
93;Шина R15 Зима;1;312952;;picture.png;2;5;4039
94;Шина R19 Липучка;1;341034;;products/tire_36.jpg;1;5;13063.00
95;Запаска R15 Зима;2;251241;;picture.png;3;10;3874
96;Шина R16 Лето;1;437927;;picture.png;3;6;7181
97;Колесо R16 Липучка;1;263261;;picture.png;4;1;14521
98;Запаска R21 Лето;2;299112;;products/tire_43.jpg;2;8;3694.00 
99;Шина R21 Зима;1;398710;;products/tire_7.jpg;2;2;9378.00
100;Шина R16 Липучка;1;320970;;products/tire_60.jpg;1;2;2264.00
